TITLE,Buffer pbs 50mM NaCl
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,20/01/15
TIME,14:15:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  260.0000
LASTX,  193.0000
NPOINTS,     336
FIRSTY,     0.61446
MAXY,     0.86205
MINY,    -1.79561
XYDATA
260.0000,0.614465,283.158
259.8000,0.580656,283.275
259.6000,0.4944,283.386
259.4000,0.526863,283.495
259.2000,0.538148,283.606
259.0000,0.555273,283.695
258.8000,0.518612,283.8
258.6000,0.62377,283.893
258.4000,0.668715,283.99
258.2000,0.638833,284.08
258.0000,0.608247,284.152
257.8000,0.518196,284.201
257.6000,0.44774,284.259
257.4000,0.517176,284.349
257.2000,0.452843,284.443
257.0000,0.35789,284.522
256.8000,0.260785,284.597
256.6000,0.221678,284.696
256.4000,0.184455,284.794
256.2000,0.180154,284.902
256.0000,0.264479,285.006
255.8000,0.170378,285.09
255.6000,0.0991193,285.162
255.4000,0.171839,285.224
255.2000,0.287267,285.312
255.0000,0.310029,285.362
254.8000,0.320178,285.418
254.6000,0.45872,285.521
254.4000,0.384043,285.602
254.2000,0.456902,285.704
254.0000,0.512655,285.817
253.8000,0.43846,285.925
253.6000,0.326033,286.026
253.4000,0.341084,286.134
253.2000,0.211852,286.238
253.0000,0.307769,286.316
252.8000,0.25941,286.425
252.6000,0.258745,286.501
252.4000,0.319632,286.568
252.2000,0.311973,286.659
252.0000,0.260429,286.745
251.8000,0.315428,286.834
251.6000,0.438876,286.915
251.4000,0.355353,286.965
251.2000,0.365666,287.029
251.0000,0.38332,287.085
250.8000,0.353168,287.166
250.6000,0.285923,287.211
250.4000,0.292616,287.247
250.2000,0.248487,287.318
250.0000,0.211634,287.364
249.8000,0.215038,287.421
249.6000,0.328071,287.484
249.4000,0.469643,287.546
249.2000,0.419888,287.593
249.0000,0.589556,287.664
248.8000,0.610399,287.742
248.6000,0.633302,287.791
248.4000,0.627167,287.834
248.2000,0.510122,287.904
248.0000,0.357615,287.939
247.8000,0.252026,287.998
247.6000,0.272616,288.078
247.4000,0.124119,288.119
247.2000,0.016577,288.18
247.0000,0.114201,288.243
246.8000,0.159953,288.317
246.6000,0.167811,288.396
246.4000,0.143328,288.464
246.2000,0.154058,288.523
246.0000,0.0629925,288.58
245.8000,-0.0318698,288.622
